english_word,bangla_word,part_of_speech,status
"Anthem","জাতীয় গান","Noun","APPROVED"
"Anything","যেকোনো কিছু","Pronoun","APPROVED"
"August","আগস্ট","Noun","APPROVED"
"Bark","ঘেউ ঘেউ করা","Verb/Noun","APPROVED"
"Bean","শিম","Noun","APPROVED"
"Behind","পেছনে","Preposition/Adverb","APPROVED"
"Bigger","আরও বড়","Adjective","APPROVED"
"Bin","ময়লার পাত্র","Noun","APPROVED"
"Biographies","জীবনীমূলক বই","noun (plural)","APPROVED"
"Blacksmith","কামার","Noun","APPROVED"
"Bleat","মে মে করা","Verb/Noun","APPROVED"
"Bookshelves","বুকশেলভ্‌স; বইয়ের তাক","noun (plural)","APPROVED"
"Borrowed","ধার নিয়েছে","verb (past)","APPROVED"
"Bread","রুটি","Noun","APPROVED"
"Burger","বার্গার","Noun","APPROVED"
"Busy","ব্যস্ত","Adjective","APPROVED"
"Catch","ধরা","Verb","APPROVED"
"Caw","কা কা ডাক","Verb/Noun","APPROVED"
"Change","পরিবর্তন করা","Verb/Noun","APPROVED"
"Check","পরীক্ষা করা","Verb","APPROVED"
"Chicken","মুরগি","Noun","APPROVED"
"Chips","চিপস","Noun","APPROVED"
"Chocolate","চকলেট","Noun","APPROVED"
"Choice","পছন্দ; নির্বাচন","noun","APPROVED"
"Clip","ছাঁটা","Verb","APPROVED"
"Cloth","কাপড়","Noun","APPROVED"
"Cluck","কক্ কক্ ডাক","Verb/Noun","APPROVED"
"Cobbler","মুচি","Noun","APPROVED"
"Complete","সম্পূর্ণ করা","Verb/Adjective","APPROVED"
"Compost","কম্পোস্ট; জৈব সার","noun/verb","APPROVED"
"Coo","কুউ কুউ ডাক","Verb/Noun","APPROVED"
"Cook","রান্না করা","Verb/Noun","APPROVED"
"Corn","ভুট্টা","Noun","APPROVED"
"Corner","কোণ","noun","APPROVED"
"Cornfield","ভুট্টাক্ষেত","Noun","APPROVED"
"Cough","কাশি","Noun/Verb","APPROVED"
"Country","দেশ","Noun","APPROVED"
"Cucumber","শসা","Noun","APPROVED"
"Cup","কাপ","Noun","APPROVED"
"Dab","হালকা চাপ দিয়ে স্পর্শ করা","Verb","APPROVED"
"Dad","বাবা","Noun","APPROVED"
"December","ডিসেম্বর","Noun","APPROVED"
"Did","করেছিল (অতীত)","Verb","APPROVED"
"Dirty","ময়লা","Adjective","APPROVED"
"Ditch","নালা/খাল; ফেলে দেওয়া","noun/verb","APPROVED"
"Doctor","ডাক্তার","Noun","APPROVED"
"Dot","ছোট গোল দাগ","Noun","APPROVED"
"Driver","চালক","Noun","APPROVED"
"Duster","ডাস্টার","Noun","APPROVED"
"Elephant","হাতি","Noun","APPROVED"
"Elicit","বের করে আনা","Verb","APPROVED"
"Emphasis","গুরুত্ব; জোর","noun","APPROVED"
"Encloses","ঘিরে রাখে","verb (present)","APPROVED"
"Example-word-2","exmple-word","noun","APPROVED"
"Famous","বিখ্যাত; সুপরিচিত","adjective","APPROVED"
"Far from","দূরে","Phrase","APPROVED"
"Farm","খামার","Noun","APPROVED"
"Feel","অনুভব করা","Verb","APPROVED"
"Fence","বেড়া; বেড়া দেওয়া","noun/verb","APPROVED"
"Fertile","উর্বর","adjective","APPROVED"
"Field","মাঠ / ক্ষেত","Noun","APPROVED"
"Fit","ফিট/সুস্থ; মাপসই; মানানসই হওয়া","adj/verb","APPROVED"
"Flock","ঝাঁক; দল বেঁধে আসা","noun/verb","APPROVED"
"Fog","কুয়াশা","Noun","APPROVED"
"Fond of","খুব পছন্দ করা","adjective phrase","APPROVED"
"From","থেকে","Preposition","APPROVED"
"Front","সামনে","Noun/Adjective","APPROVED"
"Gap","ফাঁক; ব্যবধান","Noun","APPROVED"
"Gardening","বাগান করা","noun/verb (gerund)","APPROVED"
"Get","পাওয়া","Verb","APPROVED"
"Get out","বের হওয়া","Phrasal verb","APPROVED"
"Go Ahead","এগিয়ে যাও","Phrase/Verb","APPROVED"
"Happen","ঘটা","Verb","APPROVED"
"Happiness","সুখ; আনন্দ","noun","APPROVED"
"Healthy","স্বাস্থ্যবান","Adjective","APPROVED"
"Hello","হ্যালো","Interjection","APPROVED"
"Here","এখানে","Adverb","APPROVED"
"Himself","নিজেই","Pronoun","APPROVED"
"Hopefully","আশাবাদীভাবে; আশা করে","adverb","APPROVED"
"Ice-cream","আইসক্রিম","Noun","APPROVED"
"Idea","ধারণা","Noun","APPROVED"
"Igloo","ইগলু","Noun","APPROVED"
"In front of","সামনে","Preposition phrase","APPROVED"
"Interesting","মজাদার; আকর্ষণীয়","adjective","APPROVED"
"Introduce","পরিচয় করানো","Verb","APPROVED"
"Introduced","পরিচিত করিয়ে দেওয়া; প্রবর্তন করা","verb (past)","APPROVED"
"Invite","আমন্ত্রণ করা","Verb","APPROVED"
"Itself","নিজে/নিজেই","Pronoun","APPROVED"
"January","জানুয়ারি","Noun","APPROVED"
"Job","কাজ","Noun","APPROVED"
"July","জুলাই","Noun","APPROVED"
"June","জুন","Noun","APPROVED"
"Just","শুধু/ঠিক","Adverb","APPROVED"
"Keep","রাখা","Verb","APPROVED"
"Kettle","কেটলি","Noun","APPROVED"
"Kitchen","রান্নাঘর","Noun","APPROVED"
"Know","জানা","Verb","APPROVED"
"Late","দেরি","Adjective/Adverb","APPROVED"
"Lazy","অলস","Adjective","APPROVED"
"Leap year","অধিবর্ষ","Noun","APPROVED"
"Leave","ছেড়ে যাওয়া","Verb","APPROVED"
"Lentils","ডাল","Noun","APPROVED"
"Lettuce","লেটুস পাতা","Noun","APPROVED"
"Listen","শোনা","Verb","APPROVED"
"Look","দেখা","Verb/Noun","APPROVED"
"Lot","অনেক পরিমাণ","Noun","APPROVED"
"Lovely","সুন্দর; মনোরম","adjective","APPROVED"
"Machine","যন্ত্র","Noun","APPROVED"
"Make","তৈরি করা","Verb","APPROVED"
"Many","অনেক","Determiner/Adjective","APPROVED"
"March","মার্চ","Noun","APPROVED"
"Marigolds","গাঁদা ফুল","noun (plural)","APPROVED"
"May","মে","Noun","APPROVED"
"Meeting","সভা; সাক্ষাৎ","noun","APPROVED"
"Men","পুরুষেরা","Noun","APPROVED"
"Mend","মেরামত করা","Verb","APPROVED"
"Metal","ধাতু","Noun","APPROVED"
"Mew","মিউ মিউ করা","Verb/Noun","APPROVED"
"Middle","মাঝখান","Noun/Adjective","APPROVED"
"Mollify","শান্ত করা, প্রশমিত করা","Verb","APPROVED"
"Monday","সোমবার","n","APPROVED"
"Month","মাস","Noun","APPROVED"
"More","আরও বেশি","Adjective/Adverb","APPROVED"
"Must","অবশ্যই","Modal Verb","APPROVED"
"Myself","নিজে","Pronoun","APPROVED"
"National Anthem","জাতীয় সংগীত","Noun","APPROVED"
"Need","প্রয়োজন","Verb/Noun","APPROVED"
"Neigh","হ্রেষাধ্বনি করা","Verb/Noun","APPROVED"
"Neighbourhood","পাড়া; প্রতিবেশি এলাকা","noun","APPROVED"
"New","নতুন","Adjective","APPROVED"
"Next","পরবর্তী; পাশের","adjective/adverb","APPROVED"
"November","নভেম্বর","noun","APPROVED"
"Now","এখন","adverb","APPROVED"
"Occupation","পেশা","noun","APPROVED"
"October","অক্টোবর","noun","APPROVED"
"Of course","অবশ্যই","phrase","APPROVED"
"Office","অফিস; কার্যালয়","noun","APPROVED"
"Order","আদেশ; ক্রম","noun/verb","APPROVED"
"Our","আমাদের","determiner","APPROVED"
"Pairwork","জোড়ায় কাজ","noun","APPROVED"
"Paragraph","অনুচ্ছেদ","noun","APPROVED"
